"type","latitude","longitude","city","province","region"
"mug",51.31337,4.9413264,"Turnhout","Antwerp","Flanders"
"mug",51.275087,4.6444491,"Malle","Antwerp","Flanders"
"mug",51.159665,5.0010312,"Geel","Antwerp","Flanders"
"mug",51.1315663,4.5638389,"Lier","Antwerp","Flanders"
"mug",51.0515293,4.4757471,"Mechelen","Antwerp","Flanders"
"mug",51.0173724,4.5602012,"Bonheiden","Antwerp","Flanders"
"mug",51.0243683,3.7261567,"Gent","East Flanders","Flanders"
"mug",51.0618304,3.721311,"Gent","East Flanders","Flanders"
"mug",51.0492268,3.7002027,"Gent","East Flanders","Flanders"
"mug",51.1613559,4.1501971,"Sint-Niklaas","East Flanders","Flanders"
"mug",51.0260217,4.1139549,"Dendermonde","East Flanders","Flanders"
"mug",50.9431341,4.0554168,"Aalst","East Flanders","Flanders"
"mug",50.9349397,4.0193137,"Aalst","East Flanders","Flanders"
"mug",50.770777,3.8772983,"Bierbeek","East Flanders","Flanders"
"mug",50.7554023,3.6032912,"Ronse","East Flanders","Flanders"
"mug",50.8648215,3.8177501,"Zottegem","East Flanders","Flanders"
"mug",50.8433863,3.6016383,"Oudenaarde","East Flanders","Flanders"
"mug",51.1908105,3.5312976,"Eeklo","East Flanders","Flanders"
"mug",51.2201147,3.1934588,"Brugge","West Flanders","Flanders"
"mug",51.327595,3.2912258,"Knokke-Heist","West Flanders","Flanders"
"mug",51.2187567,2.9339764,"Oostende","West Flanders","Flanders"
"mug",50.801564,3.265173,"Kortrijk","West Flanders","Flanders"
"mug",51.0620639,2.6669103,"Veurne","West Flanders","Flanders"
"mug",51.0021978,3.3227872,"Tielt","West Flanders","Flanders"
"mug",50.9181322,3.1679099,"Roeselare","West Flanders","Flanders"
"mug",51.0699275,3.0961704,"Torhout","West Flanders","Flanders"
"mug",50.8649852,2.8976144,"Ieper","West Flanders","Flanders"
"mug",50.7927247,3.1225338,"Menen","West Flanders","Flanders"
"mug",50.8235588,5.186247,"Sint-Truiden","Limburg","Flanders"
"mug",50.9259226,5.3424497,"Hasselt","Limburg","Flanders"
"mug",51.0467227,5.31609,"Heusden-Zolder","Limburg","Flanders"
