"type","public","latitude","longitude","city","province","region"
"unknown",NA,50.8034993,4.4416804,"Bruxelles","Brussels","Brussels"
"unknown",NA,50.4862154,4.557199,"Fleurus","Hainaut","Wallonia"
"unknown",NA,50.47274,4.58783,"Wanfercée-Baulet","Hainaut","Wallonia"
"unknown",NA,51.2297248,5.1315527,"Dessel","Antwerp","Flanders"
"unknown",NA,51.0547538,4.4600227,"Mechelen","Antwerp","Flanders"
"unknown",NA,50.3870398,4.5017547,"Bouffioulx","Hainaut","Wallonia"
"unknown",NA,50.6536251,5.4991456,"Grâce-Hollogne","Liege","Wallonia"
"unknown",NA,50.9072665,4.4546421,"MachelenBt)","Flemish Brabant","Flanders"
"unknown",NA,51.2021628,4.7052651,"Pulle","Antwerp","Flanders"
"unknown",NA,51.2009429,3.2254061,"Brugge","West Flanders","Flanders"
"unknown",NA,50.6574314,5.9486809,"Welkenraedt","Liege","Wallonia"
"unknown",NA,50.9737301,3.1603361,"Roeselare","West Flanders","Flanders"
"unknown",NA,50.5697618,4.4344104,"Genappe","Walloon Brabant","Wallonia"
"unknown",NA,51.2023196,3.2638945,"Assebroek","West Flanders","Flanders"
"unknown",NA,50.5911618,4.3550811,"Nivelles","Walloon Brabant","Wallonia"
"unknown",NA,50.1458006,4.9567951,"Wiesme","Namur","Wallonia"
"unknown",NA,50.8447421,4.3222667,"Brussel","Brussels","Brussels"
"unknown",NA,50.8564173,4.4335736,"Bruxelles","Brussels","Brussels"
"unknown",NA,50.58454,5.495457,"Seraing","Liege","Wallonia"
"unknown",NA,51.0991948,4.2542733,"Bornem","Antwerp","Flanders"
"unknown",NA,50.6863986,4.3117325,"Wauthier-Braine","Walloon Brabant","Wallonia"
"unknown",NA,51.2056884,4.4102319,"Antwerpen","Antwerp","Flanders"
"unknown",NA,50.6579033,5.621037,"Herstal","Liege","Wallonia"
"unknown",NA,51.055254,4.459867,"Mechelen","Antwerp","Flanders"
"unknown",NA,50.8495818,4.3690658,"Brussel","Brussels","Brussels"
"unknown",NA,50.6655368,5.5070397,"Ans","Liege","Wallonia"
"unknown",NA,51.1503249,4.5780091,"Lier","Antwerp","Flanders"
"unknown",NA,50.8268011,4.3268276,"Brussel","Brussels","Brussels"
"unknown",NA,51.2100601,4.4301283,"Antwerpen","Antwerp","Flanders"
"unknown",NA,50.8631504,4.34091,"Brussel","Brussels","Brussels"
"unknown",NA,50.6463007,5.5986741,"Liège","Liege","Wallonia"
"unknown",NA,50.6269122,5.5658046,"Liège","Liege","Wallonia"
"unknown",NA,50.8443684,4.3838559,"Brussel","Brussels","Brussels"
"unknown",NA,50.840938,4.4945365,"Wezembeek-Oppem","Flemish Brabant","Flanders"
"unknown",NA,50.8919154,4.7058934,"Wilsele","Flemish Brabant","Flanders"
"unknown",NA,50.8659823,4.3661988,"Bruxelles","Brussels","Brussels"
"unknown",NA,51.2144309,4.4432549,"BorgerhoutAntwerpen)","Antwerp","Flanders"
"unknown",NA,50.7365403,3.2025198,"Mouscron","Hainaut","Wallonia"
"unknown",NA,50.8268062,4.3550128,"Brussel","Brussels","Brussels"
"unknown",NA,50.791011,4.4871967,"Overijse","Flemish Brabant","Flanders"
"unknown",NA,50.8464388,4.3693167,"Brussel","Brussels","Brussels"
"unknown",NA,50.8355886,4.0194434,"Ninove","East Flanders","Flanders"
